source,target,description,strength
MOLDTRANS -TUR,PRIMĂRIA MUNICIPIULUI CHIȘINĂU,MoldTrans-Tur sued the Chișinău City Hall in administrative litigation.,8
AUTOGARA INTERNAȚIONALĂ CHIȘINĂU,PRIMĂRIA MUNICIPIULUI CHIȘINĂU,Autogara Internațională Chișinău co-sued the City Hall in the same matter.,8
MOLDTRANS -TUR,CONSILIUL MUNICIPAL CHIȘINĂU,MoldTrans-Tur sued the Municipal Council seeking annulment/obligation to issue favorable act.,8
AUTOGARA INTERNAȚIONALĂ CHIȘINĂU,CONSILIUL MUNICIPAL CHIȘINĂU,Autogara co-sued the Municipal Council in administrative litigation.,8
ASOCIAȚIA DE COPROPRIETARI ÎN CONDOMINIU NR. 55/319,MOLDTRANS -TUR,The homeowners’ association participated as third party in the case involving MoldTrans-Tur.,5
CURTEA DE APEL CHIȘINĂU,HOTĂRÂREA 6 AUGUST 2018 (JUDECĂTORIA CHIȘINĂU – BUIUCANI),The Court of Appeal maintained the 2018 first-instance judgment (7 Feb 2019).,7
CURTEA SUPREMĂ DE JUSTIȚIE,DECIZIA 7 FEBRUARIE 2019 (CURTEA DE APEL CHIȘINĂU),The Supreme Court quashed the 7 Feb 2019 appellate decision (20 Nov 2019).,9
CURTEA SUPREMĂ DE JUSTIȚIE,HOTĂRÂREA 6 AUGUST 2018 (JUDECĂTORIA CHIȘINĂU – BUIUCANI),The Supreme Court also quashed the 6 Aug 2018 first-instance judgment.,9
CURTEA SUPREMĂ DE JUSTIȚIE,"JUDECĂTORIA CHIȘINĂU, SEDIUL RÂȘCANI",The Supreme Court remanded the case for re-trial to the Râșcani seat.,8
MOLDTRANS -TUR,CURTEA SUPREMĂ DE JUSTIȚIE,MoldTrans-Tur filed a recourse and requested acceleration; the SCJ set an admissibility hearing and denied acceleration.,7
DIANA STĂNILĂ,CURTEA SUPREMĂ DE JUSTIȚIE,Judge Diana Stănilă serves on special panels and has a heavy docket affecting scheduling.,6
VITALII CIUMAC,"JUDECĂTORIA CHIȘINĂU, SEDIUL RÂȘCANI",Judge Vitalii Ciumac handled connected cases including 3-4645/2019.,6
CURTEA SUPREMĂ DE JUSTIȚIE,ART. 6 §1 CEDO,The SCJ invokes ECHR Article 6(1) on reasonable time to justify scheduling.,6
CODUL ADMINISTRATIV,CONTENCIOS ADMINISTRATIV (PROCEEDINGS),The Administrative Code governs administrative litigation procedure.,7
CODUL DE PROCEDURĂ CIVILĂ,CONTENCIOS ADMINISTRATIV (PROCEEDINGS),Civil Procedure Code applies supplementarily to administrative actions.,7
MITROPOLIA BASARABIEI,CURTEA DE APEL CHIȘINĂU,"In a separate case, the Court of Appeal admitted the Metropolis’s appeal concerning a 2003 collaboration contract.",5
MITROPOLIA BASARABIEI,CURTEA SUPREMĂ DE JUSTIȚIE,The SCJ previously admitted the Metropolis’s recourse and remitted for re-trial (2017).,5
