entity_name,description_list,summary_max_words,summary
AGENȚIA PROPRIETĂȚII PUBLICE,Public Property Agency named as respondent in later filings.|||0.84|||„Agenției Proprietății Publice”,120,AGENȚIA PROPRIETĂȚII PUBLICE is described in the available records as follows: Public Property Agency named as respondent in later filings.|||0.84|||„Agenției Proprietății Publice”.
AGENȚIA SERVICII PUBLICE,Public Services Agency referenced as a third party in the administrative dispute.|||0.76|||„Agenția Servicii Publice”,120,AGENȚIA SERVICII PUBLICE is described in the available records as follows: Public Services Agency referenced as a third party in the administrative dispute.|||0.76|||„Agenția Servicii Publice”.
ART. 6 §1 CEDO,"Article 6(1) ECHR on reasonable time in civil proceedings, invoked as standard.|||0.92|||„art. 6 paragraful 1 din CEDO” || The SCJ invokes ECHR Article 6(1) on reasonable time to justify scheduling.",120,"ART. 6 §1 CEDO is described in the available records as follows: Article 6(1) ECHR on reasonable time in civil proceedings, invoked as standard.|||0.92|||„art. 6 paragraful 1 din CEDO”. The SCJ invokes ECHR Article 6(1) on reasonable time to justify scheduling."
ASOCIAȚIA DE COPROPRIETARI ÎN CONDOMINIU NR. 55/319,A homeowners’ association listed as third party/intervenor in the case.|||0.88|||„Asociația de Coproprietari în Condominiu nr. 55/319” || The homeowners’ association participated as third party in the case involving MoldTrans-Tur.,120,ASOCIAȚIA DE COPROPRIETARI ÎN CONDOMINIU NR. 55/319 is described in the available records as follows: A homeowners’ association listed as third party/intervenor in the case.|||0.88|||„Asociația de Coproprietari în Condominiu nr. 55/319”. The homeowners’ association participated as third party in the case involving MoldTrans-Tur.
AUTOGARA INTERNAȚIONALĂ CHIȘINĂU,A limited liability company (SRL) that jointly filed administrative actions with MoldTrans-Tur against Chișinău municipal authorities.|||0.94|||„Autogara Internațională Chișinău” || Autogara Internațională Chișinău co-sued the City Hall in the same matter. || Autogara co-sued the Municipal Council in administrative litigation.,120,AUTOGARA INTERNAȚIONALĂ CHIȘINĂU is described in the available records as follows: A limited liability company (SRL) that jointly filed administrative actions with MoldTrans-Tur against Chișinău municipal authorities.|||0.94|||„Autogara Internațională Chișinău”. Autogara Internațională Chișinău co-sued the City Hall in the same matter. Autogara co-sued the Municipal Council in administrative litigation.
CEREREA DE ACCELERARE 18 DECEMBRIE 2024,"Application by MoldTrans-Tur to accelerate examination of recourse admissibility.|||0.90|||„La 18 decembrie 2024, … cerere de accelerare”",120,"CEREREA DE ACCELERARE 18 DECEMBRIE 2024 is described in the available records as follows: Application by MoldTrans-Tur to accelerate examination of recourse admissibility.|||0.90|||„La 18 decembrie 2024, … cerere de accelerare”."
CHIȘINĂU,"Municipality frequently referenced; locus of courts, parties, and administrative authorities.|||0.95|||„Chișinău”",120,"CHIȘINĂU is described in the available records as follows: Municipality frequently referenced; locus of courts, parties, and administrative authorities.|||0.95|||„Chișinău”."
CODUL ADMINISTRATIV,The Administrative Code cited for procedural framework in administrative litigation.|||0.95|||„Codul administrativ” || The Administrative Code governs administrative litigation procedure.,120,CODUL ADMINISTRATIV is described in the available records as follows: The Administrative Code cited for procedural framework in administrative litigation.|||0.95|||„Codul administrativ”. The Administrative Code governs administrative litigation procedure.
CODUL DE PROCEDURĂ CIVILĂ,Civil Procedure Code provisions applied supplementarily to administrative cases.|||0.95|||„Codului de procedură civilă” || Civil Procedure Code applies supplementarily to administrative actions.,120,CODUL DE PROCEDURĂ CIVILĂ is described in the available records as follows: Civil Procedure Code provisions applied supplementarily to administrative cases.|||0.95|||„Codului de procedură civilă”. Civil Procedure Code applies supplementarily to administrative actions.
CONSILIUL MUNICIPAL CHIȘINĂU,"The Chișinău Municipal Council, respondent and appellant in the proceedings.|||0.98|||„Consiliului municipal Chișinău” || MoldTrans-Tur sued the Municipal Council seeking annulment/obligation to issue favorable act. || Autogara co-sued the Municipal Council in administrative litigation.",120,"CONSILIUL MUNICIPAL CHIȘINĂU is described in the available records as follows: The Chișinău Municipal Council, respondent and appellant in the proceedings.|||0.98|||„Consiliului municipal Chișinău”. MoldTrans-Tur sued the Municipal Council seeking annulment/obligation to issue favorable act. Autogara co-sued the Municipal Council in administrative litigation."
CONSILIUL SUPERIOR AL MAGISTRATURII,Governing body of judges referenced in first-instance challenges.|||0.86|||„Consiliului Superior al Magistraturii”,120,CONSILIUL SUPERIOR AL MAGISTRATURII is described in the available records as follows: Governing body of judges referenced in first-instance challenges.|||0.86|||„Consiliului Superior al Magistraturii”.
CONSILIUL SUPERIOR AL PROCURORILOR,Governing body of prosecutors referenced in first-instance challenges.|||0.86|||„Consiliului Superior al Procurorilor”,120,CONSILIUL SUPERIOR AL PROCURORILOR is described in the available records as follows: Governing body of prosecutors referenced in first-instance challenges.|||0.86|||„Consiliului Superior al Procurorilor”.
CONTENCIOS ADMINISTRATIV (PROCEEDINGS),The Administrative Code governs administrative litigation procedure. || Civil Procedure Code applies supplementarily to administrative actions.,120,CONTENCIOS ADMINISTRATIV (PROCEEDINGS) is described in the available records as follows: The Administrative Code governs administrative litigation procedure. Civil Procedure Code applies supplementarily to administrative actions.
CURTEA DE APEL CHIȘINĂU,"Court of Appeal that issued decisions on 7 Feb 2019 and 3 May 2023.|||0.98|||„Curții de Apel Chișinău” || The Court of Appeal maintained the 2018 first-instance judgment (7 Feb 2019). || In a separate case, the Court of Appeal admitted the Metropolis’s appeal concerning a 2003 collaboration contract.",120,"CURTEA DE APEL CHIȘINĂU is described in the available records as follows: Court of Appeal that issued decisions on 7 Feb 2019 and 3 May 2023.|||0.98|||„Curții de Apel Chișinău”. The Court of Appeal maintained the 2018 first-instance judgment (7 Feb 2019). In a separate case, the Court of Appeal admitted the Metropolis’s appeal concerning a 2003 collaboration contract."
CURTEA EUROPEANĂ PENTRU DREPTURILE OMULUI,The European Court of Human Rights cited for Article 6 jurisprudence on reasonable time.|||0.92|||„Curții Europene pentru Drepturile Omului”,120,CURTEA EUROPEANĂ PENTRU DREPTURILE OMULUI is described in the available records as follows: The European Court of Human Rights cited for Article 6 jurisprudence on reasonable time.|||0.92|||„Curții Europene pentru Drepturile Omului”.
